Date,Open,High,Low,Close
2/19/2024,51791.00,52489.00,51708.00,51811.00
2/18/2024,51533.00,52056.00,51216.00,51791.00
2/17/2024,51843.00,52246.00,50662.00,51533.00
2/16/2024,51721.00,52580.00,51370.00,51842.00
2/15/2024,51714.00,52839.00,51518.00,51721.00
2/14/2024,49424.00,52052.00,49282.00,51713.00
2/13/2024,50190.00,50369.00,48380.00,49424.00
2/12/2024,48055.00,50314.00,47734.00,50190.00
2/11/2024,47894.00,48580.00,47596.00,48055.00
2/10/2024,47544.00,48155.00,46900.00,47894.00
2/9/2024,45508.00,48153.00,45263.00,47543.00
2/8/2024,44116.00,45600.00,44116.00,45508.00
2/7/2024,43074.00,44238.00,42770.00,44116.00
2/6/2024,42374.00,43351.00,42295.00,43074.00
2/5/2024,42852.00,43506.00,42253.00,42375.00
2/4/2024,43049.00,43092.00,42556.00,42852.00
2/3/2024,42931.00,43348.00,42878.00,43049.00
2/2/2024,42980.00,43430.00,42559.00,42932.00
2/1/2024,42519.00,43251.00,41872.00,42979.00
1/31/2024,43560.00,43726.00,42342.00,42519.00
1/30/2024,43158.00,43834.00,43077.00,43560.00
1/29/2024,41943.00,43292.00,41659.00,43158.00
1/28/2024,42056.00,42809.00,41686.00,41943.00
1/27/2024,41975.00,42065.00,41409.00,42056.00
1/26/2024,39769.00,42213.00,39769.00,41975.00
1/25/2024,39553.00,40266.00,39468.00,39766.00
1/24/2024,39159.00,40502.00,39043.00,39563.00
1/23/2024,40124.00,40138.00,38515.00,39162.00
1/22/2024,41627.00,41770.00,39424.00,40123.00
1/21/2024,41715.00,41848.00,41525.00,41626.00
1/20/2024,41515.00,41770.00,41436.00,41714.00
